Date,Highest Monthly Outdoor Tempreture,Lowest Monthly Outdoor Tempreture,Average Monthly Tempreture,Natural Gas Consumtion[m3],Global Warming Potential [kg CO2 eq],Acidification Potential [kg SO2 eq,HH Particulate [kg PM2.5 eq],Eutrophication Potential [kg N eq],Ozone Depletion Potential [kg CFC-11 eq],Smog Potential [kg O3 eq],Payable_Amount[IRR],Payable_Amount[USD],Month,Year,Season
2014-05-21,33.0,14.0,25.0,1142,2742.4377535504523,23.523205680675957,1.4030755493892304,0.2310760043732694,1.1024045710937806e-09,59.078033591321045,459655,10.944166666666666,5,2014,Spring
2014-06-30,40.0,14.0,30.0,943,2264.5523656725713,19.424153202169375,1.1585816489264835,0.19080969538002893,9.103042999487173e-10,48.78334997952342,379558,9.037095238095239,6,2014,Summer
2014-08-09,41.0,22.0,32.0,798,1916.3444197314018,16.437406421347998,0.9804328269812661,0.16146992249550698,7.703317405716611e-10,41.28219860409299,321195,7.6475,8,2014,Summer
2014-09-04,36.0,17.0,28.0,575,1380.8246132149825,11.843995854981326,0.7064522249551729,0.11634737523172496,5.550635975297056e-10,29.7459451094655,231438,5.510428571428571,9,2014,Fall
2014-10-14,32.0,0.0,18.0,1212,2910.5381412461893,24.965083436934552,1.4890784289489905,0.24524003266234895,1.1699775307930492e-09,62.69927908290815,487830,11.615,10,2014,Fall
2014-11-13,17.0,1.0,10.0,5954,14298.138690577402,122.64200229662404,7.3151592128401735,1.2047517776168528,5.747562886420639e-09,308.01279509870886,4792970,114.11833333333334,11,2014,Fall
2014-12-15,16.0,1.0,7.0,9176,22035.559392801184,189.00957559184113,11.27374889771942,1.8567017654370577,8.857849688578398e-09,474.69355186861816,7386680,175.87333333333333,12,2014,Winter
2015-01-18,16.0,-2.0,-7.0,12259,29439.18075374343,252.5139916282019,15.061561436044286,2.480526039940376,1.1833955899333323e-08,634.1835497338045,9868495,234.96416666666667,1,2015,Winter
2015-04-04,31.0,7.0,19.0,7092,17030.9707076881,146.08281496265664,8.713320311968845,1.435018408945032,6.846106145531604e-09,366.8839003762249,5709060,135.93,4,2015,Spring
2015-06-13,41.0,19.0,32.0,899,2158.889264835251,18.517830041092544,1.1045226960603487,0.18190659188403607,8.678298681377485e-10,46.507138527668666,773551,18.41788095238095,6,2015,Summer
2015-07-15,40.0,18.0,32.0,615,1476.8819776125465,12.667926001414811,0.7555967275607501,0.12444110568262756,5.936767173578591e-10,31.815228247515275,569306,13.554904761904762,7,2015,Summer
2015-08-29,39.0,20.0,31.0,902,2166.093567165068,18.579624802075056,1.108208533755767,0.18251362166785376,8.7072585212486e-10,46.6623347630224,834981,19.8805,8,2015,Summer
2015-10-07,32.0,7.0,21.0,769,1846.702830543168,15.840057065183723,0.9448030625922226,0.1556019679186026,7.423372286962498e-10,39.7819683290069,711863,16.949119047619046,10,2015,Fall
2015-11-14,18.0,4.0,11.0,5510,13231.90194576444,113.49637767121237,6.769655233918265,1.114911369611834,5.318957256328136e-09,285.04375226635636,5100912,121.45028571428571,11,2015,Fall
2015-12-19,16.0,-1.0,5.0,11592,27837.424202414048,238.77495643642354,14.242076855096286,2.3455630846715754,1.1190082126198866e-08,599.6782534068245,10734192,255.576,12,2015,Winter
2016-01-23,17.0,-4.0,7.0,14001,33622.47897325734,288.3961495053801,17.201804524517176,2.8330080010771845,1.3515557267849407e-08,724.3008303958721,12964926,308.6887142857143,1,2016,Winter
2016-02-24,24.0,-5.0,10.0,10813,25966.70703077149,222.72891683463146,13.284987666852668,2.187937684140247,1.0438091617545578e-08,559.3789642933051,10012838,238.40090476190477,2,2016,Winter
2016-04-07,32.0,3.0,18.0,6554,15738.999156540862,135.0009544931263,8.052326751923832,1.3261577343803919,6.3267596838429405e-09,339.05204216945543,6069004,144.50009523809524,4,2016,Spring
2016-05-10,35.0,14.0,25.0,1208,2900.9324048064327,24.882690422291205,1.4841639786884329,0.24443065961725868,1.1661162188102337e-09,62.492350769103176,1118608,26.63352380952381,5,2016,Spring
2016-06-25,40.0,17.0,29.0,1028,2468.674265017395,21.175004763340528,1.2630137169633353,0.20800887258819697,9.923571795835432e-10,53.18057664787919,951928,22.664952380952382,6,2016,Summer
2016-08-14,38.0,22.0,30.0,1042,2502.2943425565422,21.463380314592246,1.2802142928752873,0.21084167824601288,1.005871771523397e-09,53.90482574619661,964892,22.97361904761905,8,2016,Summer
2016-09-28,38.0,14.0,27.0,729,1750.645466145604,15.016126918750238,0.8956585599866453,0.14750823746769998,7.037241088680963e-10,37.71268519095713,675054,16.072714285714287,9,2016,Fall
2016-11-09,25.0,-7.0,10.0,3256,7819.06946196171,67.06791391968557,4.000362512093988,0.6588296587034721,3.1431079540116896e-09,168.4396474372516,3015056,71.78704761904761,11,2016,Fall
2016-12-27,17.0,-1.0,6.0,17400,41784.953512940345,358.40961369856535,21.3778586334261,3.5207727461426335,1.6796707125246746e-08,900.1381650516516,16112400,383.62857142857143,12,2016,Winter
2017-02-07,18.0,-5.0,5.0,16094,38648.68056535988,331.5082944175121,19.773290623354004,3.2565124469206634,1.5535988762857533e-08,832.5760705943266,14903044,354.83438095238097,2,2017,Winter
2017-03-15,21.0,1.0,11.0,12836,30824.80823517829,264.39918399050487,15.770470886129738,2.5972781016946462,1.2390950152854438e-08,664.0329590001725,11886136,283.0032380952381,3,2017,Spring
2017-05-11,35.0,13.0,25.0,4291,10304.553765748678,88.38710645865196,5.271976517013299,0.8682549341205771,4.1422224295651595e-09,221.9823486342895,3973466,94.60633333333334,5,2017,Spring
2017-06-28,39.0,18.0,30.0,1918,4605.950622863194,39.50745052148554,2.356478899937429,0.38809437512077993,1.8514990957599572e-09,99.22212646948665,1776068,42.287333333333336,6,2017,Summer
2017-08-10,38.0,21.0,30.0,1718,4125.663800875374,35.38779978931812,2.110756386909543,0.3476257228662669,1.6584334966191901e-09,88.87571077923779,1590868,37.877809523809525,8,2017,Summer
2017-09-24,37.0,14.0,27.0,1463,3513.2981028409035,30.135245105804664,1.7974601827989878,0.29602819124176283,1.412274857714712e-09,75.68403077417048,1354738,32.25566666666667,9,2017,Fall
2017-11-12,24.0,2.0,14.0,1742,4183.298219513912,35.88215787717821,2.140243088472889,0.35248196113680846,1.6816013685160822e-09,90.11728066206766,1613092,38.40695238095238,11,2017,Fall
2017-12-30,20.0,0.0,8.0,7925,19031.365321267367,163.24116026213395,9.736754578729991,1.6035703455850787,7.6502243659529e-09,409.97672172611146,7338550,174.72738095238094,12,2017,Winter
2018-02-07,16.0,-3.0,8.0,13802,33144.59358537946,284.29709702687353,16.95731062405443,2.7927416920839443,1.3323456996704343e-08,714.0061467840745,12780652,304.3012380952381,2,2018,Winter
2018-03-14,29.0,4.0,17.0,9712,23322.72807572854,200.05023955404982,11.932285232634156,1.9651577534791527,9.375265494275654e-09,502.4219459184851,8993312,214.12647619047618,3,2018,Spring
2018-05-13,33.0,10.0,21.0,4275,10266.130819989652,88.05753440007857,5.252318715971068,0.865017441940216,4.126777181633898e-09,221.1546353790696,3958651,94.25359523809524,5,2018,Spring
2018-06-26,39.0,17.0,29.0,1968,4726.022328360149,40.537363204527395,2.4179095281944005,0.3982115381844082,1.899765495545149e-09,101.80873039204887,1822368,43.389714285714284,6,2018,Summer
2018-08-14,39.0,20.0,32.0,1560,3746.237211504996,32.13327571090586,1.9166356016175126,0.3156554875852016,1.505911673297984e-09,80.70204238394118,1661244,39.55342857142857,8,2018,Summer
2018-10-06,32.0,9.0,19.0,1519,3647.778412997493,31.28874731081154,1.8662624864467958,0.30735941387302645,1.4663332254741267e-09,78.58102716744017,1617583,38.51388095238095,10,2018,Fall
2018-11-24,18.0,5.0,11.0,8306,19946.311717154167,171.08909490691286,10.204855966048115,1.680663128129926,8.018014332316061e-09,429.68664361603555,8138880,193.78285714285715,11,2018,Fall
2019-01-08,15.0,-2.0,6.0,14824,35598.85924573722,305.348512268249,18.212952665626926,2.9995365051045058,1.4310022208313664e-08,766.8763309612463,14138016,336.61942857142856,1,2019,Winter
2019-02-23,14.0,-1.0,7.0,16565,39779.756031141194,341.2100718917664,20.351967141534676,3.3518161229800416,1.599065824883404e-08,856.9418795448627,15759315,375.2217857142857,2,2019,Winter
2019-04-14,25.0,2.0,15.0,12814,30771.97668475963,263.9460224099665,15.74344140969667,2.5928265499466496,1.2369712936948952e-08,662.8948532742451,12322422,293.391,4,2019,Spring
2019-06-02,40.0,16.0,30.0,3188,7655.7719424858515,65.66723267074865,3.9168168576645064,0.6450703169369377,3.077465650303829e-09,164.92186610256698,3394901,80.83097619047619,6,2019,Summer
2019-07-23,41.0,18.0,33.0,1357,3258.746087187359,27.95183021775593,1.667227250894208,0.2745798055468709,1.3099500901701053e-09,70.20043045833859,1445069,34.40640476190476,7,2019,Summer
2019-09-17,36.0,16.0,27.0,1317,3162.688722789795,27.127900071322447,1.6180827482886309,0.2664860750959683,1.271336970341952e-09,68.1311473202888,1402473,33.39221428571429,9,2019,Fall
2019-11-05,20.0,1.0,9.0,4187,10054.804618315013,86.2448880779249,5.144200810238798,0.8472112349482303,4.041828318011961e-09,216.6022124753601,4324686,102.96871428571428,11,2019,Fall
2019-12-23,16.0,2.0,8.0,13636,32745.95552312957,280.8777869191746,16.753360938241283,2.7591527107126983,1.3163212549417507e-08,705.418621761168,13065327,311.0792142857143,12,2019,Winter
2020-02-01,18.0,-7.0,7.0,15234,36583.44723081225,313.7937962691922,18.716683817334093,3.0824972422262573,1.4705806686552236e-08,788.0864831262564,14472010,344.57166666666666,2,2020,Winter
2020-03-11,22.0,1.0,13.0,11881,28531.43866018645,244.72785174440546,14.59714588642158,2.4040402871793463,1.1469061916957274e-08,614.628824079234,11357999,270.4285476190476,3,2020,Spring
2020-04-29,26.0,2.0,15.0,9179,22042.763695131,189.07137035282366,11.277434735414838,1.8573087952208756,8.86074567256551e-09,474.8487481039719,8947277,213.03040476190475,4,2020,Spring
2020-07-28,40.0,20.0,31.0,1962,4711.613723700514,40.41377368256237,2.410537852803564,0.3969974786167728,1.893973527570926e-09,101.49833792134142,2089334,49.746047619047616,7,2020,Summer
2020-09-15,36.0,15.0,26.0,2072,4975.771475793816,42.679581585254454,2.5456852349689014,0.41925523735675496,2.000159607098348e-09,107.18886655097829,2206473,52.53507142857143,9,2020,Fall
2020-11-08,25.0,4.0,11.0,5638,13539.285511836646,116.13295413979951,6.926917642256113,1.1408113070547223,5.4425192397782265e-09,291.66545830811566,5713978,136.04709523809524,11,2020,Fall
2021-02-06,20.0,0.0,10.0,15639,37556.02804533759,322.13608900183124,19.214271906215565,3.164446263041646,1.509676452481229e-08,809.0379748990104,14929238,355.45804761904765,2,2021,Winter
2021-04-05,32.0,8.0,22.0,14071,33790.57936095308,289.8380272616387,17.287807404076936,2.847172029366264,1.3583130227548675e-08,727.9220758874592,13559468,322.8444761904762,4,2021,Spring
2021-05-17,37.0,13.0,25.0,811,1947.5630631606102,16.70518371893888,0.9964047903280787,0.16410038489205034,7.828810045158109e-10,41.95471562395917,390691,9.302166666666666,5,2021,Spring
2021-06-28,39.0,22.0,32.0,816,1959.5702337103057,16.808174987243067,1.002547853153776,0.16511210119841316,7.877076444943301e-10,42.213376016215385,0,0.0,6,2021,Summer
2021-08-22,39.0,24.0,31.0,1109,2663.190427922462,22.843463309868334,1.362531334739629,0.22439867675127476,1.070548747235554e-09,57.37087500242998,0,0.0,8,2021,Summer
2021-09-29,38.0,17.0,28.0,839,2014.803218238905,17.28193482144232,1.0308059421519826,0.16976599620768215,8.099101883955184e-10,43.40321382059401,0,0.0,9,2021,Fall
2021-11-20,24.0,2.0,11.0,6001,14411.00609374454,123.61012021868338,7.372904003401726,1.2142619108966635,5.792933302218719e-09,310.44420278591735,4523888,107.71161904761905,11,2021,Fall
2021-12-29,18.0,0.0,8.0,10917,26216.456178205157,224.87113521535852,13.41276337362717,2.2089813833125937,1.0538485729098777e-08,564.7591004522345,10465335,249.17464285714286,12,2021,Winter
2022-02-26,19.0,0.0,9.0,18266,43864.5954521476,376.2477013688503,22.44183711483685,3.696002010404675,1.7632681169526267e-08,944.9381449904292,17453172,415.5517142857143,2,2022,Winter
2022-04-18,30.0,8.0,21.0,5775,13868.281984898304,118.9549148913342,7.0952375636802145,1.1685323338490636,5.5747691751896526e-09,298.7527530559361,0,0.0,4,2022,Spring
2013-03-14,24.0,-3.0,14.0,4586,11012.976828180714,94.46359128859889,5.634417223729431,0.9279461961959837,4.426994188297791e-09,237.24331177740657,2751600,65.51428571428572,3,2013,Spring
2013-06-03,37.0,18.0,28.0,40,96.057364397564,0.8239301464334836,0.04914450260557725,0.008093730450902606,3.8613119828153436e-11,2.069283138049774,24000,0.5714285714285714,6,2013,Summer
2013-07-13,42.0,19.0,32.0,36,86.4516279578076,0.7415371317901353,0.04423005234501952,0.0072843574058123455,3.475180784533809e-11,1.8623548242447965,21600,0.5142857142857142,7,2013,Summer
2013-08-19,38.0,20.0,30.0,30,72.043023298173,0.6179476098251127,0.03685837695418293,0.006070297838176955,2.8959839871115077e-11,1.5519623535373304,9000,0.21428571428571427,8,2013,Summer
2013-09-21,36.0,17.0,28.0,22,52.8315504186602,0.453161580538416,0.027029476433067485,0.004451551747996433,2.123721590548439e-11,1.1381057259273757,6600,0.15714285714285714,9,2013,Fall
2013-10-26,32.0,8.0,19.0,40,96.057364397564,0.8239301464334836,0.04914450260557725,0.008093730450902606,3.8613119828153436e-11,2.069283138049774,12000,0.2857142857142857,10,2013,Fall
2013-11-30,21.0,3.0,12.0,4379,10515.87996742332,90.19975278080562,5.380094422745569,0.8860611411125627,4.227171293187098e-09,226.534771537999,1313700,31.27857142857143,11,2013,Fall
2014-02-18,17.0,-7.0,5.0,19414,46621.44181035769,399.8944965714913,23.852284339616915,3.92829207434558,1.874087770859427e-08,1004.3265710524578,5824202,138.6714761904762,2,2014,Winter
2014-04-29,30.0,-2.0,18.0,8879,21322.33346214927,182.89189425457252,10.90885096587301,1.796605816839106,8.57114727385436e-09,459.32912456859856,3170755,75.49416666666667,4,2014,Spring
2014-07-20,42.0,20.0,32.0,101,242.5448451038491,2.080423619744546,0.12408986907908255,0.020436669388529078,9.749812756608742e-11,5.224939923575679,40653,0.9679285714285715,7,2014,Summer
2014-09-22,36.0,17.0,28.0,61,146.4874807062851,1.2564934733110624,0.0749453664735053,0.012342938937626474,5.888500773793399e-11,3.1556567855259052,24553,0.5845952380952381,9,2014,Fall
2014-10-25,32.0,0.0,18.0,51,122.47313960689411,1.0505109367026917,0.062659240822111,0.010319506324900822,4.9231727780895634e-11,2.6383360010134616,20528,0.4887619047619048,10,2014,Fall
2014-12-29,16.0,1.0,7.0,5775,13868.281984898304,118.9549148913342,7.0952375636802145,1.1685323338490636,5.5747691751896526e-09,298.7527530559361,4648875,110.6875,12,2014,Winter
